MANUFACTURER	MODEL	PUMP	VENTING TYPE	CAPACITY RANGE	CAPACITY RANGE	CAPACITY AT 45 RISE	BTU/HR INPUT	ENERGY FACTOR	THERMAL EFFICIENCY	WIDTH	HEIGHT	DEPTH	OPERATING WEIGHT	WATER CONN	GAS CONN	COMBUSTION AIR	EXHAUST AIR	ELECTRIC SUPPLY	ELECTRIC POWER	
RINNAI	RUR199e	recirc pump	standard	0.26	9.8	8.4	199000	0.93		18.5	26.4	11.4	73	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	81	https://www.rinnai.us/product/tankless-water-heater/rur199en
RINNAI	RUR199i	external	direct vent-dual	0.26	9.8	9.5	199000	0.93		18.5	26.4	11.4	73	0.75	0.5	2 or 3 	2 or 3	120V / 1PH/ 60 HZ	84	https://www.rinnai.us/product/tankless-water-heater/rur199in
RINNAI	RUS65e	recirc pump	standard	0.26	6.5	5.3	130000	0.86		18.3	28.4	10.1	57.3	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	61	https://www.rinnai.us/product/tankless-water-heater/rus65en
RINNAI	RUS75e	external	standard	0.26	7.5	6.5	160000	0.89		18.3	28.4	10.1	57.3	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	89	https://www.rinnai.us/product/tankless-water-heater/rus75en
RINNAI	V53De	recirc pump	standard	0.4	5.3	4.3	120000	0.81		14	19.8	7.9	29.7	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	50	https://www.rinnai.us/product/tankless-water-heater/v53den#tab__specs
RINNAI	V65e	external	standard	0.26	6.5	5.4	150000	0.79		14.04	22.95	9.27	43.6	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	57	https://www.rinnai.us/product/tankless-water-heater/v65en
RINNAI	V65i	recirc pump	direct vent	0.26	6.5	5.4	150000	0.8		14.04	22.95	9.27	45.6	0.75	0.5	5.05	5.05	120V / 1PH/ 60 HZ	76	https://www.rinnai.us/product/tankless-water-heater/v65in
RINNAI	V75e	external	standard	0.26	7.5	6.5	180000	0.81		14.04	22.95	9.27	43.6	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	57	https://www.rinnai.us/product/tankless-water-heater/v75en
RINNAI	V75i	recirc pump	direct vent	0.26	7.5	6.6	180000	0.81		14.04	22.95	9.27	45.6	0.75	0.5	5.05	5.05	120V / 1PH/ 60 HZ	76	https://www.rinnai.us/product/tankless-water-heater/v75in
RINNAI	V94e	external	standard	0.26	9.8	7.2	199000	0.81		14.04	22.95	9.27	44.3	0.75	0.5	N/A	N/A	120V / 1PH/ 60 HZ	65	https://www.rinnai.us/product/tankless-water-heater/v94en
RINNAI	V94i	recirc pump	direct vent	0.26	9.8	7.2	199000	0.81		14.04	22.95	9.27	46.3	0.75	0.5	5.05	5.05	120V / 1PH/ 60 HZ	97	https://www.rinnai.us/product/tankless-water-heater/v94in
RINNAI	V94Xi	external	direct vent	0.26	9.8	7.2	192000	0.82		14.04	22.95	9.27	46.3	0.75	0.5	5.05	5.05	120V / 1PH/ 60 HZ	97	https://www.rinnai.us/product/tankless-water-heater/v94xin
RHEEM	RTGH-95DVLN-2	recirc pump	Indoor Direct Vent	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3	2 or 3	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-series-9_5-gpm-indoor-tankless-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-95dvln-2
RHEEM	RTGH-95DVELN-2	external	Indoor Direct Vent	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3	2 or 3	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-series-9_5-gpm-indoor-tankless-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-95dveln-2
RHEEM	RTGH-95XLN-2	recirc pump	Outdoor	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-series-9_5-gpm-outdoor-tankless-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-95xln-2
RHEEM	RTGH-95XELN-2	external	Outdoor	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-series-9_5-gpm-outdoor-tankless-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-95xeln-2
RHEEM	RTGH-90DVLN-2	recirc pump	Indoor Direct Vent	0.26	9	7.7	180000	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3	2 or 3	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-90-direct-vent-indoor-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-90dvln-2
RHEEM	RTGH-90XLN-2	external	Outdoor	0.26	9	7.7	180000	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-90-outdoor-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-90xln-2
RHEEM	RTGH-84DVLN-2	recirc pump	Indoor Direct Vent	0.26	8.4	6.7	157000	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3	2 or 3	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-series-8_4-gpm-indoor-tankless-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-84dvln-2
RHEEM	RTGH-84XLN-2	external	Outdoor	0.26	8.4	6.7	157000	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-tankless-h84-outdoor-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-84xln-2
RHEEM	RTGH-68DVLN-2	recirc pump	Indoor Direct Vent	0.26	6.8	5.1	120000	0.91		18.5	27.5	9.75	82	0.75	0.75	2 or 3	2 or 3	120V / 1PH/ 60 HZ	unknown	https://s1.img-b.com/build.com/mediabase/specifications/rheem/1716240/rheem-rtgh-68dvln-2-specification-sheet.pdf
RHEEM	RTGH-68XLN-2	recirc pump	Outdoor	0.26	6.8	5.1	120000	0.91		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://s1.img-b.com/build.com/mediabase/specifications/rheem/1716242/rheem-rtgh-68xln-2-specification-sheet.pdf
RHEEM	ECOH200DVLN-1	external	Indoor Direct Vent	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-condensing-94-direct-vent-indoor-electric-high-efficiency-tankless-water-heater-with-0-year-limited-warrantyecoh200dvn
RHEEM	ECOH200DVELN-1	recirc pump	Indoor Direct Vent	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-condensing-94-direct-vent-indoor-electric-high-efficiency-tankless-water-heater-with-0-year-limited-warrantycecoh200dvelp-1
RHEEM	ECOH200XLN-1	external	Outdoor	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://images.homedepot-static.com/catalog/pdfImages/cf/cf1f36ac-5583-49cc-8d50-adfaf2927504.pdf
RHEEM	ECOH200XELN-1	recirc pump	Outdoor	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://images.homedepot-static.com/catalog/pdfImages/cf/cf1f36ac-5583-49cc-8d50-adfaf2927504.pdf
RHEEM	ECOH180DVLN-1	external	Indoor Direct Vent	0.26	9	7.7	180000	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	unknown	https://images.homedepot-static.com/catalog/pdfImages/cf/cf1f36ac-5583-49cc-8d50-adfaf2927504.pdf
RHEEM	ECOH180DVELN-1	recirc pump	Indoor Direct Vent	0.26	9	7.7	180000	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	unknown	https://images.homedepot-static.com/catalog/pdfImages/cf/cf1f36ac-5583-49cc-8d50-adfaf2927504.pdf
RHEEM	ECOH180XLN-1	external	Outdoor	0.26	9	7.7	180000	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://images.homedepot-static.com/catalog/pdfImages/cf/cf1f36ac-5583-49cc-8d50-adfaf2927504.pdf
RHEEM	ECOH180XELN-1	recirc pump	Outdoor	0.26	9	7.7	180000	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://images.homedepot-static.com/catalog/pdfImages/cf/cf1f36ac-5583-49cc-8d50-adfaf2927504.pdf
RHEEM	ECOH160DVLN-1	external	Indoor Direct Vent	0.26	N/A	6.7	157000	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-platinum-condensing-90-direct-vent-indoor-electric-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-ecoh160dvln
RHEEM	ECOH160XLN-1	recirc pump	Outdoor	0.26	8.4	6.7	157000	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://manualzz.com/doc/53182392/rheem-ecoh200dvln-1-performance-platinum-9.5-gpm-natural-...
RHEEM	ECO200DVRCLN3-1	external	Indoor DV w/ Recirc Pump	0.26	9.5	7.4	199900	0.82		13.875	36.75	9.875	80	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-70-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-recirculation-pump-and-12-year-limited-warranty-eco200dvrcln3-1
RHEEM	ECO200DVLN3-1	recirc pump	Indoor Direct Vent	0.26	9.5	7.4	199900	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-70-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco200dvln3-1
RHEEM	ECO200DVELN3-1	external	Indoor Direct Vent	0.26	9.5	7.4	199900	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-70-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco200dveln3-1
RHEEM	ECO200XLN3-1	recirc pump	Outdoor	0.26	9.5	7.4	199900	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-70-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco200xln3-1
RHEEM	ECO200XELN3-1	external	Outdoor	0.26	9.5	7.4	199900	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-70-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco200xeln3-1
RHEEM	ECO180DVLN3-1	recirc pump	Indoor Direct Vent	0.26	8.4	6.7	180000	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-95-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco180dvln3-1
RHEEM	ECO180DVELN3-1	external	Indoor Direct Vent	0.26	8.4	6.7	180000	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.manualshelf.com/manual/rheem/eco180dveln3-1/product-brochure-english.html
RHEEM	ECO180XLN3-1	recirc pump	Outdoor	0.26	8.4	6.7	180000	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-95-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco180xln3-1
RHEEM	ECO180XELN3-1	external	Outdoor	0.26	8.4	6.7	180000	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-70-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco180xeln3-1
RHEEM	ECO160DVLN3-1	recirc pump	Indoor Direct Vent	0.26	7	6	160000	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-70-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco160dvln3-1
RHEEM	ECO160XLN3-1	external	Outdoor	0.26	7	6	160000	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/performance-mid-efficiency-70-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-eco160xln3-1
RHEEM	RTG-RC95DVLN-1	recirc pump	Indoor DV w/ Recirc Pump	0.26	9.5	7.4	199900	0.82		13.875	36.75	9.875	80	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-95-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-recirculation-pump-and-12-year-limited-warranty-rtg-rc95dvln-1
RHEEM	RTG-95DVLN-1	external	Indoor Direct Vent	0.26	9.5	7.4	199900	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-95-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-95dvln-1
RHEEM	RTG-95DVELN-1	recirc pump	Indoor Direct Vent	0.26	9.5	7.4	199900	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-95-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-95dveln-1
RHEEM	RTG-95XLN-1	external	Outdoor	0.26	9.5	7.4	199900	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-95-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-95xln-1
RHEEM	RTG-95XELN-1	recirc pump	Outdoor	0.26	9.5	7.4	199900	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://s1.img-b.com/compactappliance.com/mediabase/specifications/rheem/1716234/rheem-rtg-95xeln-1-specification-sheet.pdf
RHEEM	RTG-84DVLN-1	external	Indoor Direct Vent	0.26	8.4	6.7	180000	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-84-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-84dvln-1
RHEEM	RTG-84XLN-1	recirc pump	Outdoor	0.26	8.4	6.7	180000	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-84-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-84xln-1
RHEEM	RTG-70DVLN-1	external	Indoor Direct Vent	0.26	7	6	160000	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-64-direct-vent-indoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-64dvln-1
RHEEM	RTG-70XLN-1	recirc pump	Outdoor	0.26	7	6	160000	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-70-outdoor-natural-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-64xln-1
RHEEM	RTGH-RH11DV	external	Indoor Direct Vent	0.26	11	8.5	199000	0.94		17.3	28.7	14.8	85	0.75	0.75	2 or 3	2 or 3	120V / 1PH/ 60 HZ	unknown	
RHEEM	RTGH-RH10DV	recirc pump	Indoor Direct Vent	0.26	9.9	7.7	199000	0.94		17.3	28.7	14.8	85	0.75	0.75	2 or 3	2 or 3	120V / 1PH/ 60 HZ	unknown	
RHEEM	RTG-RC95DVLP-1	external	Indoor DV w/ Recirc Pump	0.26	9.5	7.4	199900	0.82		13.875	36.75	9.875	80	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-95-direct-vent-indoor-propane-gas-econet-enabled-tankless-water-heater-with-recirculation-pump-and-12-year-limited-warranty-rtg-rc95dvlp-1
RHEEM	RTG-95DVLP-1	recirc pump	Indoor Direct Vent	0.26	9.5	7.4	199900	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-95-direct-vent-indoor-propane-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-95dvlp-1
RHEEM	RTGH-RH11DVLN	external	Indoor Direct Vent	0.26	11	8.5	199000	0.94		17.3	28.7	14.8	85	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	172	https://www.rheem.com/product/condensing-tankless-gas-water-heaters-with-built-in-recirculation-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-recirculation-pump-and-12-year-limited-warranty-rtgh-rh11dvl
RHEEM	RTGH-RH11DVLP	recirc pump	Indoor Direct Vent	0.26	11	8.5	199000	0.94		17.3	28.7	14.8	85	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	172	
RHEEM	RTGH-RH10DVLN	external	Indoor Direct Vent	0.26	9.9	7.7	180000	0.94		17.3	28.7	14.8	85	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	172	https://www.rheem.com/product/condensing-tankless-gas-water-heaters-with-built-in-recirculation-natural-gas-econet-enabled-high-efficiency-tankless-water-heater-with-recirculation-pump-and-12-year-limited-warranty-rtgh-rh10dvl
RHEEM	RTGH-RH10DVLP	recirc pump	Indoor Direct Vent	0.26	9.9	7.7	180000	0.94		17.3	28.7	14.8	85	0.75	0.75	2 or 3 or 4	2 or 3 or 4	120V / 1PH/ 60 HZ	172	
RHEEM	RTGH-95XLP-2	external	Outdoor	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-series-9_5-gpm-outdoor-tankless-propane-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-95xlp-2
RHEEM	RTG-95XLP-1	recirc pump	Outdoor	0.26	9.5	7.4	199900	0.81		13.875	23.625	8.875	54	0.75	0.75	N/A	N/A	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-95-outdoor-propane-gas-econet-enabled-tankless-water-heater-with-12-year-limited-warranty-rtg-95xlp-1
RHEEM	RTGH-95DVLP-2	recirc pump	Indoor Direct Vent	0.26	9.5	8.5	199900	0.93		18.5	27.5	9.75	82	0.75	0.75	2 or 3	2 or 3	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/professional-prestige-series-9_5-gpm-indoor-tankless-propane-gas-econet-enabled-high-efficiency-tankless-water-heater-with-12-year-limited-warranty-rtgh-95dvlp-2
RHEEM	RTG-84DVLP-1	external	Indoor Direct Vent	0.26	8.4	6.7	180000	0.82		13.875	25.625	9.875	54	0.75	0.75	3 by 5	3 by 5	120V / 1PH/ 60 HZ	unknown	https://www.rheem.com/product/tankless-84-direct-vent-indoor-propane-gas-econet-enabled-tankless-water-heater-with-1-year-limited-warranty-rtg-84dvlp-1
